definition,feature_set,task,auroc_mean,auroc_ci,auprc_mean,auprc_ci,f1_mean,f1_ci
strict,FS1 Base,binary,0.904164725376863,0.0026532789762792656,0.9510597924568949,0.0015323067470965565,0.8686564946100571,0.002984346400014471
strict,FS1 Base,multiclass,0.9171688724272343,0.002755035668903285,0.6605107945563713,0.008914051671233388,0.5753186521187617,0.00740037841913914
strict,FS2 Signal,binary,0.7547303470171924,0.002651381404953881,0.845723101691175,0.002006915632672925,0.812989418745306,0.0007971634783071511
strict,FS2 Signal,multiclass,0.7117944342218387,0.006996400505271028,0.3648855350349721,0.003471394369209987,0.31996356036448653,0.00572753889754865
strict,FS3 Combined,binary,0.9032934869609865,0.002795611339740613,0.9504813697854931,0.0014753211814682512,0.868478212928794,0.002664105380213574
strict,FS3 Combined,multiclass,0.9154834261719899,0.0030862919178221188,0.6553419763469115,0.010134713253555626,0.5684621592698093,0.005660192076293324
lenient,FS1 Base,binary,0.9035951048112846,0.0018959742127431247,0.9512164147246993,0.0010435648516625218,0.8651919860798187,0.0010169763721601846
lenient,FS1 Base,multiclass,0.9144718057593424,0.0013974901283174094,0.6744298664465586,0.010524729836354302,0.5903126575068965,0.006575547161840596
lenient,FS2 Signal,binary,0.7542464512704966,0.003976459702666234,0.8454718226698658,0.001568898490213496,0.8143278329034473,0.0016430931653817744
lenient,FS2 Signal,multiclass,0.71132305355536,0.012251887500675731,0.39700500112505066,0.004207792898053342,0.35682058967476016,0.004642769181741689
lenient,FS3 Combined,binary,0.9029267638758942,0.0021798980699913547,0.9508165480116737,0.0010869580574573306,0.8655584916769431,0.0017039341592326011
lenient,FS3 Combined,multiclass,0.9112524832832266,0.0020455160324655886,0.6685260268042691,0.005662564470903517,0.5832532097495985,0.016302531133150524
