strategy,cls,support,precision,recall,f1,auprc
S0 Baseline,Non-Serious,398,0.0849,0.8392,0.1542,0.5194
S0 Baseline,Moderate,53828,0.715,0.8161,0.7622,0.85
S0 Baseline,Serious,78733,0.869,0.6177,0.7221,0.8745
S0 Baseline,Critical,8819,0.3535,0.8632,0.5016,0.7452
S0 Baseline,Fatal,23526,0.8591,0.8192,0.8387,0.9141
S1 Cost-Sensitive,Non-Serious,398,0.5288,0.4146,0.4648,0.3268
S1 Cost-Sensitive,Moderate,53828,0.722,0.8173,0.7667,0.8579
S1 Cost-Sensitive,Serious,78733,0.7959,0.783,0.7894,0.8925
S1 Cost-Sensitive,Critical,8819,0.8168,0.5924,0.6867,0.7659
S1 Cost-Sensitive,Fatal,23526,0.9259,0.7955,0.8557,0.9194
S2 SMOTE+ENN,Non-Serious,398,0.1468,0.505,0.2275,0.2494
S2 SMOTE+ENN,Moderate,53828,0.7488,0.7073,0.7275,0.8135
S2 SMOTE+ENN,Serious,78733,0.7692,0.7554,0.7623,0.815
S2 SMOTE+ENN,Critical,8819,0.4459,0.7158,0.5495,0.6669
S2 SMOTE+ENN,Fatal,23526,0.8631,0.7929,0.8265,0.8948
S3 Threshold,Non-Serious,398,0.4016,0.6457,0.4952,0.5194
S3 Threshold,Moderate,53828,0.6881,0.8649,0.7664,0.85
S3 Threshold,Serious,78733,0.8307,0.7226,0.7729,0.8745
S3 Threshold,Critical,8819,0.7024,0.6463,0.6732,0.7452
S3 Threshold,Fatal,23526,0.9167,0.7946,0.8513,0.9141
S4 Cascade,Non-Serious,398,0.0329,0.3492,0.0602,0.0793
S4 Cascade,Moderate,53828,0.6947,0.8225,0.7532,0.8327
S4 Cascade,Serious,78733,0.8779,0.6227,0.7286,0.8843
S4 Cascade,Critical,8819,0.3897,0.8469,0.5338,0.7487
S4 Cascade,Fatal,23526,0.8677,0.8236,0.8451,0.9155
