drug,adr,a,n_drug,n_adr,PRR,PRR_lower95,PRR_upper95,chi2_PRR,pvalue_PRR,ROR,ROR_lower95,ROR_upper95,IC,IC_lower95,IC_upper95,IC025,EBGM,EB05,EB95,signal_PRR,signal_ROR,signal_IC,signal_EBGM,n_methods_flagged,signal_ANY_3,signal_ALL_4,signal_strength
Misoprostol,Foetal Exposure During Delivery,69,1053,307,181.72956969829033,140.08791752643668,235.7493571598944,9434.520254567971,0.0,194.39588357486534,147.74773423509387,255.77217644990816,6.131611498126918,5.8965179374025665,6.366705058851269,5.735790707111429,127.57364739375612,102.31878344652444,152.8285113409878,True,True,True,True,4,True,True,Strong (4/4)
Poractant Alfa,Neonatal Hypoxia,111,715,1212,92.9967593901081,77.6415594014411,111.3887629735207,9078.914090667291,0.0,109.8887211851498,89.03122632817556,135.63253637770086,5.939428176643586,5.753826523069697,6.125029830217476,5.626935596646732,81.2427729277668,68.56066750894388,93.92487834658971,True,True,True,True,4,True,True,Strong (4/4)
Rabeprazole,Trismus,36,240,319,352.1482398149065,255.54424047403634,485.27167966963543,10770.388958290036,0.0,413.9619366717981,285.67113721417473,599.8662892029922,5.888017468710207,5.563604957825281,6.212429979595133,5.34181273099579,216.71990407673863,157.34374950913852,276.0960586443387,True,True,True,True,4,True,True,Strong (4/4)
Nortriptyline,Trismus,34,234,319,338.98064219806645,243.8792867889773,471.16701585420157,9834.694400868548,0.0,396.29187539033325,271.1613692297018,579.16528060954,5.813541717511146,5.4798579049162734,6.147225530106019,5.251727135081003,208.33951659018953,149.60694776333665,267.07208541704244,True,True,True,True,4,True,True,Strong (4/4)
Poractant Alfa,Product Administration Error,31,715,68,771.7146331236897,483.2893874928346,1232.2709548139214,12544.517499103842,0.0,806.6190504017532,499.3220679160776,1303.0353238470925,5.778446444774935,5.429233447156397,6.1276594423934725,5.1904857855192335,250.63574473304917,176.64487904610885,324.62661041998945,True,True,True,True,4,True,True,Strong (4/4)
Benztropine Mesylate,Trismus,30,221,319,312.88942560731704,220.68682542128553,443.614123634198,8070.794517068909,0.0,361.74705195326413,242.70175375950436,539.1841120626966,5.650652374051182,5.295760474297433,6.005544273804931,5.053130297935176,191.23902941446693,133.851147632868,248.62691119606586,True,True,True,True,4,True,True,Strong (4/4)
Zopiclone,Trismus,36,1031,319,82.0066041389357,58.415448490472066,115.12507900195295,2456.078873097318,0.0,84.93558668328465,59.839016101792765,120.55769555037239,5.19012275324743,4.865710242362504,5.514535264132356,4.643918015533013,65.57009354835589,47.605430698742396,83.53475639796937,True,True,True,True,4,True,True,Strong (4/4)
Polyethylene Glycol 4000,Foetal Disorder,23,116,923,147.38078988068145,102.09730969483596,212.7489675367248,3071.4716382338934,0.0,183.38369058188113,116.1172479935466,289.6174216366216,5.1481502257460425,4.743840316671703,5.552460134820382,4.467424358427,108.36606642113874,71.2361692373157,145.4959636049618,True,True,True,True,4,True,True,Strong (4/4)
Gliclazide,Foetal Disorder,24,137,923,130.32598514326142,90.48412644176018,187.7109618170855,2831.6572381893625,0.0,157.6681636641012,101.39171048372988,245.18029841501587,5.145532013836192,4.749559587838915,5.541504439833469,4.47884374557547,99.31443300586434,66.00089723765673,132.62796877407197,True,True,True,True,4,True,True,Strong (4/4)
Amikacin,Systemic Candida,18,210,78,955.619186902495,577.9411099690097,1580.1056796689081,12273.681342898588,0.0,1044.880476548245,609.1765786336144,1792.2146854702532,5.1393616055816,4.683677267246143,5.595045943917057,4.372137974710677,241.01460964845538,147.69548244058802,334.33373685632273,True,True,True,True,4,True,True,Strong (4/4)
